TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,DaysSinceLastTransaction,Target
131.93,Credit,Fort Worth,Branch,31.0,Engineer,13.0,1.0,4547.06,-420.0,7
20.28,Debit,Oklahoma City,Online,36.0,Engineer,213.0,1.0,2047.83,-474.0,0
415.88,Debit,San Diego,Branch,70.0,Doctor,170.0,1.0,10008.33,-557.0,1
49.99,Debit,Omaha,ATM,62.0,Retired,,1.0,2299.64,-634.0,3
1221.65,Debit,Denver,Online,27.0,Student,153.0,1.0,243.92,-404.0,6
100.66,Debit,Dallas,Branch,50.0,Doctor,144.0,1.0,14473.33,,1
485.54,Debit,Louisville,Online,19.0,Student,148.0,1.0,1533.32,-332.0,5
321.15,Debit,Los Angeles,Branch,46.0,Doctor,179.0,1.0,7005.05,-633.0,2
711.3,Debit,San Jose,Branch,21.0,Student,51.0,1.0,955.4,-497.0,5
12.23,Debit,Houston,ATM,42.0,Engineer,139.0,1.0,7844.88,-389.0,7
350.94,Debit,Colorado Springs,ATM,20.0,Student,64.0,1.0,221.56,-371.0,5
301.85,Debit,Columbus,Online,54.0,Engineer,25.0,1.0,6586.19,-566.0,2
29.34,Debit,Louisville,Online,65.0,Retired,30.0,1.0,3944.82,-606.0,3
231.71,Debit,Raleigh,Branch,27.0,Student,148.0,1.0,1127.98,-560.0,5
179.43,Debit,Oklahoma City,ATM,58.0,Retired,244.0,1.0,2626.63,-451.0,0
36.71,Debit,Jacksonville,Branch,48.0,Doctor,55.0,1.0,6459.38,-644.0,2
138.12,Credit,Los Angeles,Branch,53.0,Doctor,281.0,1.0,1649.69,-573.0,0
233.24,Debit,Louisville,ATM,33.0,Engineer,72.0,1.0,6939.23,-567.0,2
609.14,Debit,Tucson,ATM,39.0,Engineer,177.0,1.0,9033.87,-347.0,7
436.64,Debit,Los Angeles,Branch,31.0,Doctor,111.0,1.0,14365.18,-315.0,1
870.43,Debit,Los Angeles,Branch,29.0,Doctor,55.0,1.0,10115.18,-523.0,6
354.4,Debit,Chicago,ATM,74.0,Retired,128.0,1.0,7358.65,-364.0,7
22.63,Debit,Kansas City,Online,53.0,Engineer,112.0,1.0,4438.03,-623.0,2
182.19,Debit,Mesa,Branch,26.0,Student,53.0,1.0,1176.1,-504.0,5
126.81,Debit,Philadelphia,Branch,26.0,Engineer,290.0,1.0,5427.98,-371.0,0
288.17,Debit,Virginia Beach,Online,37.0,Engineer,50.0,1.0,3653.11,-423.0,7
118.77,Debit,Atlanta,Branch,55.0,Engineer,123.0,1.0,2104.82,-399.0,7
651.82,Debit,Indianapolis,ATM,21.0,Student,166.0,1.0,1802.77,-570.0,5
66.65,Debit,Detroit,ATM,37.0,Engineer,33.0,1.0,3559.96,-384.0,7
98.53,Debit,Denver,Branch,69.0,Retired,166.0,1.0,3564.8,-658.0,3
138.95,Debit,Washington,Online,71.0,Retired,30.0,1.0,6752.92,-521.0,3
33.89,Debit,Nashville,Branch,26.0,Student,177.0,1.0,1444.75,-360.0,5
23.71,Debit,Atlanta,Branch,58.0,Doctor,164.0,1.0,10788.89,-413.0,1
1830.0,Debit,San Antonio,Online,55.0,Engineer,238.0,1.0,2235.7,-614.0,6
26.06,Debit,San Diego,ATM,65.0,Doctor,283.0,1.0,12893.63,-319.0,1
17.07,Debit,Los Angeles,Branch,27.0,Engineer,44.0,1.0,2798.15,-553.0,2
703.89,Debit,San Antonio,Online,46.0,Engineer,62.0,1.0,3583.67,-409.0,6
1271.9,Debit,Houston,ATM,47.0,Engineer,155.0,1.0,2120.8,-434.0,6
26.55,Debit,Houston,ATM,77.0,Retired,228.0,1.0,3085.38,-411.0,3
147.4,Debit,San Jose,Branch,42.0,Engineer,259.0,1.0,6797.71,-514.0,0
202.11,Debit,Memphis,ATM,27.0,Student,18.0,1.0,746.47,-585.0,5
308.42,Debit,Nashville,Branch,75.0,Retired,39.0,1.0,5427.81,-552.0,3
11.18,Debit,Miami,ATM,53.0,Engineer,144.0,1.0,7467.3,-616.0,2
294.15,Debit,Fresno,Online,38.0,Engineer,136.0,1.0,6362.16,-641.0,2
29.58,Debit,Colorado Springs,Branch,54.0,Engineer,,1.0,8345.26,-371.0,7
139.45,Debit,Boston,Online,27.0,Student,31.0,1.0,1305.76,-483.0,5
432.63,Debit,Colorado Springs,ATM,29.0,Doctor,137.0,1.0,13648.36,-493.0,1
131.43,Debit,Charlotte,Online,43.0,Doctor,65.0,1.0,1337.5,-642.0,2
516.72,Debit,Mesa,ATM,42.0,Engineer,128.0,1.0,2015.69,-392.0,7
121.82,Debit,Colorado Springs,Online,69.0,Doctor,123.0,3.0,8354.54,-636.0,4
374.5,Credit,San Francisco,Branch,26.0,Student,178.0,1.0,1671.51,-469.0,5
166.13,Debit,Omaha,ATM,68.0,Doctor,227.0,1.0,11822.53,-425.0,1
626.9,Debit,Chicago,ATM,23.0,Student,146.0,1.0,587.11,-391.0,5
466.85,Debit,Austin,Branch,56.0,Retired,165.0,1.0,5422.53,-476.0,3
788.84,Debit,Phoenix,Online,58.0,Retired,231.0,1.0,1913.73,-537.0,6
873.65,Credit,Oklahoma City,Online,37.0,Doctor,59.0,,12139.83,-592.0,6
525.28,Debit,Colorado Springs,ATM,69.0,Retired,134.0,1.0,4693.6,-581.0,3
110.17,,Raleigh,ATM,30.0,Engineer,137.0,1.0,464.2,-424.0,5
632.69,Debit,Denver,ATM,80.0,Retired,76.0,1.0,4363.74,-419.0,3
124.35,Debit,Oklahoma City,ATM,72.0,Retired,90.0,1.0,3319.76,-332.0,7
43.85,Debit,Fresno,ATM,62.0,Retired,122.0,1.0,4356.98,-602.0,3
283.81,Debit,San Diego,Branch,28.0,Student,29.0,1.0,1519.35,-606.0,5
168.53,Debit,San Francisco,ATM,71.0,Retired,112.0,1.0,5962.58,-509.0,3
218.59,Credit,Denver,Branch,40.0,Engineer,123.0,1.0,6699.23,-343.0,7
132.84,Debit,Oklahoma City,ATM,21.0,Student,143.0,1.0,822.73,-441.0,5
157.37,Credit,Dallas,Branch,42.0,Doctor,289.0,1.0,13964.31,-355.0,1
144.77,Debit,Albuquerque,Online,20.0,Student,159.0,1.0,867.32,-476.0,5
643.22,Debit,Atlanta,ATM,64.0,Doctor,93.0,1.0,1035.86,-551.0,3
1392.54,Debit,El Paso,Branch,41.0,Doctor,297.0,1.0,13347.69,-350.0,6
208.07,Debit,Oklahoma City,Online,32.0,Doctor,36.0,1.0,8478.9,-483.0,2
94.3,Debit,Phoenix,Branch,57.0,Doctor,57.0,,11088.95,-315.0,1
295.5,Debit,Mesa,ATM,59.0,Retired,36.0,1.0,6280.66,-347.0,7
30.23,Debit,Austin,ATM,44.0,Doctor,99.0,1.0,481.13,-364.0,7
112.05,Credit,Phoenix,ATM,26.0,Student,159.0,1.0,1122.88,,5
180.24,Debit,Phoenix,Branch,58.0,Engineer,144.0,1.0,8431.23,-490.0,2
13.71,Credit,Denver,Online,38.0,Engineer,148.0,1.0,8342.79,-524.0,2
96.54,Debit,New York,Branch,58.0,Retired,95.0,1.0,7182.22,-602.0,3
79.35,Debit,Los Angeles,Online,67.0,Retired,70.0,1.0,1692.15,,3
101.04,Debit,San Antonio,ATM,27.0,Student,160.0,1.0,1695.57,-483.0,5
74.42,Debit,El Paso,Online,49.0,Engineer,68.0,1.0,6264.21,-347.0,7
39.66,Debit,Virginia Beach,Branch,52.0,Engineer,169.0,1.0,8497.34,-536.0,2
99.36,Debit,Seattle,ATM,40.0,Doctor,46.0,1.0,1272.12,-545.0,2
123.85,Debit,Las Vegas,Online,56.0,Engineer,244.0,1.0,3959.62,-437.0,0
426.93,Debit,Omaha,ATM,19.0,Student,248.0,1.0,476.19,-315.0,0
133.73,Credit,San Jose,Online,25.0,Student,123.0,1.0,1872.22,-538.0,5
222.39,Debit,Virginia Beach,Online,49.0,Engineer,73.0,1.0,3117.39,-439.0,7
215.94,Credit,Virginia Beach,Online,22.0,Student,140.0,1.0,1841.69,-518.0,5
6.3,Debit,Columbus,Branch,80.0,Retired,283.0,5.0,7697.68,-326.0,4
826.23,Debit,Colorado Springs,ATM,29.0,Doctor,209.0,1.0,7580.59,,6
,Debit,Columbus,Online,35.0,Engineer,67.0,1.0,7936.91,-390.0,7
131.46,Debit,Charlotte,Branch,67.0,Retired,258.0,1.0,6642.33,-539.0,0
202.86,Credit,Memphis,Branch,61.0,Doctor,149.0,1.0,7642.25,-532.0,1
268.39,Debit,Miami,ATM,26.0,Student,171.0,1.0,136.74,-497.0,5
194.85,Debit,Jacksonville,Online,23.0,Student,130.0,4.0,319.84,-419.0,4
137.35,Credit,Sacramento,,40.0,Doctor,220.0,1.0,12662.66,-586.0,1
712.75,Debit,Philadelphia,Branch,44.0,Doctor,25.0,1.0,8126.06,,6
353.82,Debit,Milwaukee,ATM,42.0,Doctor,143.0,1.0,705.75,-574.0,2
507.25,Debit,Washington,Branch,,Retired,143.0,1.0,5331.57,-371.0,7
212.74,Debit,Seattle,Branch,27.0,Engineer,128.0,1.0,7645.47,,2
364.42,Debit,Colorado Springs,ATM,51.0,Engineer,146.0,1.0,8119.73,-391.0,7
195.12,Debit,Louisville,ATM,46.0,Doctor,144.0,1.0,6101.15,-468.0,1
230.61,Debit,Raleigh,Branch,80.0,Retired,204.0,1.0,2561.42,-427.0,3
739.28,Credit,Tucson,Branch,58.0,Doctor,47.0,1.0,11905.64,-504.0,1
390.35,Credit,Omaha,ATM,64.0,Doctor,61.0,1.0,7095.88,-405.0,7
242.03,Debit,Dallas,Online,58.0,Engineer,124.0,1.0,4382.73,-602.0,2
242.39,Credit,San Antonio,ATM,18.0,Student,271.0,1.0,1328.73,-350.0,0
135.03,Debit,San Francisco,ATM,23.0,Student,180.0,1.0,1278.0,-619.0,5
83.5,Debit,Dallas,Branch,61.0,,91.0,5.0,1749.79,-539.0,4
193.54,Debit,Oklahoma City,Branch,80.0,Retired,267.0,1.0,2929.51,-377.0,0
617.36,Debit,Kansas City,,29.0,Engineer,61.0,1.0,8926.38,-349.0,7
775.23,Credit,Albuquerque,Online,59.0,Doctor,38.0,1.0,5977.59,-455.0,6
266.57,Debit,El Paso,ATM,72.0,Retired,100.0,1.0,7676.92,-405.0,7
153.4,Debit,Mesa,ATM,45.0,Engineer,144.0,1.0,4657.7,-584.0,2
946.94,Debit,Charlotte,Branch,53.0,Retired,251.0,1.0,5579.11,-329.0,6
5.12,Debit,New York,Branch,34.0,Engineer,90.0,1.0,3293.01,-388.0,7
119.11,Debit,Detroit,ATM,57.0,Engineer,131.0,1.0,7998.25,-493.0,2
1096.7,Debit,Colorado Springs,Online,24.0,Student,147.0,1.0,1093.89,-588.0,6
119.72,Debit,Tucson,Branch,30.0,Engineer,123.0,1.0,3435.34,-640.0,2
107.4,Debit,Virginia Beach,Online,58.0,Doctor,32.0,1.0,344.07,-501.0,3
115.92,Debit,Raleigh,ATM,53.0,Retired,57.0,1.0,3897.17,-657.0,3
438.04,Debit,Philadelphia,ATM,67.0,Retired,247.0,1.0,5358.95,-438.0,0
677.29,Debit,Houston,Online,27.0,Engineer,287.0,1.0,627.79,-553.0,0
296.0,Debit,Las Vegas,Branch,35.0,Doctor,248.0,1.0,7418.82,-539.0,0
299.09,Credit,Boston,Branch,36.0,Engineer,84.0,1.0,5615.26,-658.0,2
461.52,Credit,Denver,Branch,24.0,Student,44.0,1.0,1995.18,-539.0,5
100.52,Debit,Las Vegas,ATM,50.0,Engineer,110.0,1.0,453.39,-644.0,2
85.35,Debit,Washington,ATM,66.0,Retired,166.0,1.0,2173.76,-488.0,3
79.76,Debit,Raleigh,Branch,39.0,Engineer,170.0,1.0,6452.14,-637.0,2
778.49,Credit,Omaha,Online,75.0,Retired,107.0,1.0,7713.67,-490.0,3
386.38,Debit,Phoenix,Online,42.0,Engineer,135.0,1.0,5528.36,-650.0,2
165.25,Debit,Sacramento,Online,35.0,Doctor,106.0,1.0,9939.94,-346.0,1
14.29,Debit,Los Angeles,ATM,34.0,Engineer,150.0,1.0,7016.99,-615.0,2
232.79,Credit,Indianapolis,Branch,55.0,Retired,145.0,1.0,2661.3,-411.0,7
1237.56,Credit,Austin,Branch,60.0,Engineer,159.0,1.0,9410.17,-357.0,6
92.29,Debit,Albuquerque,Branch,54.0,Engineer,115.0,,2026.32,-628.0,2
293.97,Debit,Phoenix,Branch,68.0,Retired,153.0,1.0,7371.85,-357.0,7
136.32,Debit,Miami,Online,19.0,Student,113.0,1.0,264.83,-390.0,5
251.06,Debit,Colorado Springs,Online,36.0,Doctor,34.0,1.0,10001.66,-334.0,7
50.17,Credit,Sacramento,ATM,77.0,Retired,35.0,1.0,7752.14,-413.0,7
21.4,Debit,Fresno,Branch,34.0,Engineer,258.0,1.0,9594.11,-314.0,0
73.28,Debit,Boston,Branch,21.0,Student,21.0,1.0,1329.41,-605.0,5
70.23,Debit,Memphis,ATM,38.0,Doctor,260.0,1.0,11624.93,-418.0,0
689.29,Debit,El Paso,ATM,22.0,Student,100.0,1.0,168.84,-668.0,5
745.03,Debit,Fort Worth,Online,28.0,Student,231.0,1.0,160.57,-459.0,0
54.61,Debit,Milwaukee,ATM,58.0,Engineer,160.0,1.0,7135.64,-336.0,7
54.05,Debit,Louisville,Branch,27.0,Student,146.0,1.0,469.14,-559.0,5
107.47,Debit,Austin,Online,67.0,Retired,144.0,1.0,7517.5,-572.0,3
611.11,Debit,Detroit,ATM,20.0,Student,282.0,4.0,919.84,-383.0,4
219.63,Debit,Charlotte,ATM,48.0,Doctor,44.0,1.0,8013.63,-360.0,7
188.7,Debit,New York,Branch,,Retired,123.0,1.0,5077.06,-633.0,2
93.52,Debit,Philadelphia,Online,51.0,Engineer,97.0,1.0,2791.2,-448.0,7
275.92,Credit,Nashville,Branch,62.0,Retired,107.0,1.0,1777.38,-413.0,7
376.79,Debit,Milwaukee,Branch,68.0,Retired,265.0,1.0,7749.14,-644.0,3
8.98,Debit,Detroit,Online,66.0,,56.0,1.0,4516.76,-441.0,7
697.32,Debit,Atlanta,Online,68.0,Retired,91.0,1.0,2016.02,-543.0,3
17.45,,Omaha,ATM,18.0,Student,88.0,1.0,1959.52,-418.0,5
302.16,Debit,Kansas City,Online,80.0,Retired,138.0,5.0,3876.61,-383.0,4
442.74,Debit,San Diego,Branch,23.0,Student,136.0,1.0,1790.27,-385.0,5
623.9,Debit,San Jose,ATM,27.0,Student,249.0,1.0,711.47,-454.0,0
445.41,Debit,Fresno,ATM,35.0,Doctor,235.0,3.0,12154.66,-350.0,4
63.41,Debit,Fort Worth,ATM,26.0,Student,36.0,1.0,1546.22,-346.0,5
346.85,Debit,Kansas City,ATM,44.0,Doctor,88.0,1.0,7208.15,-367.0,7
71.95,Credit,,Online,59.0,Engineer,53.0,1.0,9267.32,-630.0,2
7.5,Debit,Dallas,Online,63.0,Retired,36.0,1.0,6485.78,-626.0,3
206.46,Debit,Virginia Beach,ATM,65.0,Retired,279.0,1.0,3984.38,-343.0,0
423.11,Debit,Columbus,ATM,60.0,Engineer,47.0,1.0,412.78,-468.0,7
35.84,Credit,Colorado Springs,Online,54.0,Retired,172.0,1.0,4795.65,-587.0,3
88.6,Credit,Raleigh,Branch,28.0,Student,105.0,1.0,246.57,-629.0,5
1431.3,Debit,Oklahoma City,ATM,18.0,Student,168.0,1.0,1058.13,-427.0,6
53.81,Credit,Raleigh,ATM,55.0,Engineer,37.0,2.0,,-385.0,7
22.46,Debit,New York,Online,54.0,Retired,78.0,1.0,6631.5,-537.0,3
334.89,Debit,Fort Worth,Online,21.0,Student,260.0,1.0,1661.68,-473.0,0
319.27,Credit,Omaha,Online,54.0,Retired,59.0,1.0,5504.01,-473.0,3
144.3,Debit,Oklahoma City,ATM,18.0,Student,88.0,1.0,312.19,-332.0,5
348.7,Credit,Fresno,Branch,69.0,Retired,149.0,1.0,2445.58,-552.0,3
366.21,Debit,Oklahoma City,ATM,62.0,Doctor,181.0,1.0,10862.99,-662.0,1
99.11,Debit,Philadelphia,Online,55.0,Retired,12.0,1.0,5414.87,-553.0,3
539.35,Debit,Milwaukee,ATM,55.0,Retired,127.0,1.0,3919.44,-532.0,3
188.99,Debit,Oklahoma City,Branch,58.0,Engineer,92.0,1.0,7315.34,-515.0,2
1416.69,Debit,Nashville,ATM,46.0,Engineer,58.0,1.0,3740.73,-658.0,6
710.14,Debit,El Paso,ATM,26.0,Student,227.0,1.0,465.63,-607.0,0
308.68,Debit,Milwaukee,Online,53.0,Doctor,170.0,1.0,9992.36,-616.0,1
166.68,Debit,Mesa,ATM,57.0,Retired,139.0,1.0,5141.19,-588.0,3
0.99,Debit,Los Angeles,ATM,,Engineer,133.0,1.0,4317.85,-418.0,7
505.19,Debit,Kansas City,ATM,30.0,Doctor,128.0,5.0,5326.68,-601.0,4
66.58,Debit,Raleigh,Branch,23.0,Student,79.0,1.0,1636.32,-336.0,5
223.43,Debit,Dallas,Branch,77.0,Retired,178.0,1.0,7932.41,-635.0,3
659.95,Debit,Detroit,Online,60.0,Engineer,114.0,1.0,3927.69,-411.0,6
634.86,Debit,Chicago,ATM,27.0,Student,45.0,1.0,588.5,-452.0,5
286.5,Credit,Boston,Branch,30.0,Engineer,60.0,1.0,8517.95,-378.0,7
322.96,Credit,Philadelphia,Branch,76.0,Retired,168.0,1.0,2401.59,-343.0,7
654.48,Debit,Columbus,Branch,19.0,Student,114.0,1.0,6776.41,-455.0,5
157.97,Debit,Philadelphia,Branch,48.0,Doctor,140.0,1.0,5529.92,-502.0,2
120.9,,Tucson,Branch,40.0,Doctor,52.0,1.0,9009.42,-481.0,1
254.77,Debit,Denver,Branch,57.0,Engineer,57.0,1.0,5994.87,-656.0,2
795.96,Debit,Raleigh,Online,65.0,Retired,119.0,1.0,5468.58,-403.0,6
149.25,Debit,Omaha,ATM,39.0,Engineer,142.0,1.0,5677.52,-574.0,2
3.42,Credit,San Antonio,,43.0,Doctor,158.0,1.0,14180.21,-406.0,1
68.19,Credit,Fresno,Online,40.0,Doctor,189.0,1.0,9895.1,-601.0,1
493.42,,Baltimore,Branch,39.0,Engineer,111.0,1.0,2232.84,-509.0,2
37.57,Debit,El Paso,ATM,57.0,Retired,42.0,1.0,7739.54,-558.0,3
127.0,Credit,Nashville,Branch,19.0,Student,68.0,5.0,431.16,-416.0,4
96.89,Debit,,ATM,59.0,,53.0,1.0,6044.93,-599.0,2
448.33,Debit,Atlanta,ATM,25.0,Student,161.0,1.0,922.19,-553.0,5
1116.48,Debit,San Diego,ATM,51.0,Engineer,55.0,1.0,447.53,-413.0,6
8.65,Debit,Las Vegas,Online,48.0,Doctor,273.0,1.0,10778.35,-518.0,0
65.57,Debit,Miami,Online,41.0,Engineer,82.0,1.0,,-578.0,2
539.81,Debit,San Francisco,Online,46.0,Engineer,177.0,1.0,2051.25,-622.0,2
363.53,Debit,Kansas City,ATM,63.0,Retired,142.0,1.0,1038.91,-656.0,3
64.9,Credit,Detroit,Branch,51.0,Retired,72.0,1.0,6854.61,-629.0,3
358.18,Debit,Boston,ATM,18.0,Student,157.0,1.0,619.86,-574.0,5
167.2,Debit,San Antonio,Branch,30.0,Doctor,84.0,1.0,11320.83,-656.0,2
121.91,Debit,Chicago,Branch,60.0,Doctor,133.0,1.0,14510.8,-497.0,1
137.57,Debit,Louisville,Online,54.0,Engineer,70.0,1.0,5103.67,-329.0,7
534.62,Debit,Oklahoma City,Online,55.0,Doctor,45.0,1.0,13793.53,-335.0,1
463.92,Debit,Mesa,Online,50.0,Engineer,199.0,1.0,2403.39,-602.0,0
320.14,Debit,Milwaukee,Online,60.0,Retired,96.0,1.0,3075.97,-643.0,3
214.93,Debit,Albuquerque,Online,28.0,Student,52.0,1.0,7835.4,-539.0,2
660.02,Debit,Nashville,Branch,20.0,Student,84.0,1.0,414.43,-389.0,5
345.81,Debit,Raleigh,Branch,40.0,Engineer,135.0,1.0,6116.8,-497.0,2
143.54,Debit,Philadelphia,ATM,71.0,Retired,80.0,1.0,6067.62,-385.0,7
42.55,Debit,Seattle,Branch,53.0,Engineer,29.0,1.0,7341.43,-584.0,2
1063.25,Credit,Omaha,Online,21.0,Student,128.0,1.0,1240.71,-657.0,6
541.79,Debit,Mesa,ATM,22.0,Student,125.0,1.0,1454.08,-451.0,5
40.57,Debit,Columbus,Branch,26.0,Student,63.0,1.0,1476.91,-630.0,5
120.24,Debit,Milwaukee,Branch,18.0,Student,131.0,2.0,1943.13,-434.0,5
498.67,Debit,Miami,Online,28.0,Student,244.0,1.0,1719.97,-335.0,0
227.22,Debit,El Paso,ATM,53.0,Doctor,220.0,1.0,832.82,-588.0,0
1182.86,Debit,Tucson,Online,30.0,Engineer,34.0,1.0,7696.16,-329.0,6
56.94,Credit,Charlotte,Online,76.0,,74.0,1.0,7004.63,-329.0,7
629.82,Debit,Colorado Springs,,68.0,Retired,159.0,1.0,6385.69,-476.0,3
59.44,Debit,Chicago,Online,35.0,Engineer,176.0,1.0,5472.03,-510.0,0
186.69,Debit,New York,Branch,30.0,Engineer,54.0,1.0,8602.22,-311.0,7
230.46,Debit,Mesa,Online,19.0,Student,179.0,1.0,162.53,-559.0,5
65.09,Credit,Seattle,Online,44.0,Engineer,159.0,1.0,9370.9,-615.0,2
457.09,Credit,Nashville,Online,55.0,Engineer,63.0,1.0,8570.82,-529.0,2
552.02,Credit,Chicago,ATM,44.0,Engineer,100.0,1.0,522.08,-340.0,7
377.12,Debit,Houston,ATM,34.0,Engineer,61.0,1.0,836.67,-448.0,5
204.56,Credit,San Diego,Branch,18.0,Student,179.0,1.0,364.72,-420.0,5
420.28,Debit,Washington,Branch,35.0,Doctor,144.0,1.0,8557.32,-537.0,1
97.09,Debit,Fort Worth,ATM,24.0,Student,202.0,4.0,1579.57,-574.0,4
124.59,Debit,Charlotte,Branch,27.0,Student,171.0,1.0,129.29,-549.0,5
73.88,Debit,Charlotte,Online,39.0,Doctor,34.0,1.0,6474.41,-672.0,2
77.43,Debit,Raleigh,Online,21.0,Student,169.0,1.0,,-655.0,5
106.16,Debit,Phoenix,ATM,56.0,Doctor,277.0,4.0,7487.79,-570.0,4
245.93,Debit,Fresno,Branch,54.0,Engineer,172.0,1.0,7986.63,-517.0,2
622.41,Debit,Indianapolis,ATM,64.0,Doctor,125.0,1.0,7322.01,-329.0,7
43.73,Debit,Omaha,ATM,34.0,Doctor,145.0,1.0,9929.43,-581.0,1
1282.86,Debit,Austin,Branch,19.0,Student,68.0,1.0,1830.98,-539.0,6
2.03,Credit,Detroit,ATM,33.0,Engineer,28.0,1.0,3012.31,-308.0,7
770.65,Debit,Jacksonville,Online,31.0,Doctor,137.0,1.0,7198.8,-488.0,6
260.31,Debit,Austin,Branch,63.0,Doctor,113.0,1.0,10980.38,-615.0,1
356.1,Credit,Fort Worth,Branch,26.0,Student,187.0,1.0,868.35,-376.0,5
27.07,Credit,Virginia Beach,Branch,80.0,Retired,39.0,1.0,3773.29,-609.0,3
119.89,Debit,Tucson,ATM,67.0,Doctor,60.0,1.0,6697.77,-321.0,7
106.39,Debit,Virginia Beach,Online,37.0,Doctor,281.0,1.0,9410.99,-630.0,0
12.04,Debit,Fort Worth,Online,37.0,Engineer,58.0,1.0,6213.32,-355.0,7
365.7,Debit,Houston,Branch,21.0,Student,115.0,2.0,368.78,-647.0,5
29.38,Credit,Baltimore,Branch,28.0,Student,63.0,1.0,1663.31,-628.0,5
319.85,Debit,Denver,ATM,60.0,Doctor,148.0,1.0,711.66,-467.0,3
350.14,Credit,Los Angeles,Online,75.0,Retired,38.0,1.0,2403.25,-591.0,3
163.94,Credit,Virginia Beach,Branch,52.0,Retired,73.0,1.0,5957.37,-459.0,7
170.53,Debit,Oklahoma City,Branch,24.0,Student,58.0,1.0,801.01,-637.0,5
262.22,Credit,Baltimore,ATM,40.0,Engineer,136.0,1.0,5711.71,,2
41.49,Debit,Albuquerque,Online,24.0,Student,13.0,1.0,928.33,-560.0,5
121.43,Credit,Sacramento,Branch,52.0,Engineer,243.0,1.0,7365.28,-594.0,0
350.46,Debit,Nashville,Branch,51.0,Retired,165.0,1.0,5839.38,-332.0,7
220.41,Credit,El Paso,Online,26.0,Engineer,155.0,1.0,5116.98,-427.0,0
33.46,Debit,Seattle,ATM,72.0,Retired,111.0,1.0,3641.07,-623.0,3
104.79,Debit,Denver,ATM,70.0,Doctor,223.0,1.0,1352.19,-455.0,0
246.27,Debit,Fresno,Online,29.0,Doctor,141.0,1.0,7299.86,-313.0,7
48.85,Debit,Dallas,ATM,19.0,Student,176.0,1.0,1503.56,-332.0,5
332.0,Debit,Charlotte,ATM,69.0,Retired,17.0,1.0,5943.13,-557.0,3
118.1,Debit,Memphis,Online,54.0,Engineer,167.0,1.0,895.66,-370.0,7
84.59,Credit,Las Vegas,Branch,67.0,Doctor,10.0,1.0,5669.1,-565.0,3
295.64,Debit,Jacksonville,Online,21.0,Student,82.0,1.0,1061.96,-326.0,5
514.33,Debit,Philadelphia,Branch,25.0,Student,160.0,1.0,1592.94,-521.0,5
992.17,Debit,San Antonio,ATM,43.0,Doctor,,1.0,6215.96,-616.0,6
94.59,Debit,Washington,Online,39.0,Doctor,34.0,1.0,6171.89,-339.0,7
80.43,Debit,Columbus,Branch,59.0,Retired,157.0,1.0,5987.67,-670.0,3
54.25,Debit,Virginia Beach,Online,68.0,Doctor,37.0,1.0,14783.33,-462.0,1
178.88,Credit,Dallas,Branch,76.0,Retired,93.0,4.0,4708.29,-504.0,4
518.85,Debit,Kansas City,Online,22.0,Student,82.0,1.0,1806.0,-378.0,5
10.65,Debit,Louisville,Online,54.0,Doctor,161.0,1.0,13240.72,-560.0,1
198.62,Credit,Tucson,Branch,27.0,Student,84.0,1.0,1196.07,,5
107.03,Debit,Miami,Branch,27.0,Student,73.0,1.0,1408.07,-609.0,5
139.57,Debit,Fort Worth,ATM,19.0,Student,263.0,3.0,271.78,-353.0,4
312.47,Debit,Milwaukee,ATM,49.0,,148.0,4.0,9419.27,-552.0,4
346.11,Debit,Dallas,Branch,41.0,Engineer,213.0,1.0,9551.64,-670.0,2
138.06,Debit,Charlotte,Branch,44.0,Engineer,159.0,1.0,1070.47,-468.0,0
158.02,Debit,New York,ATM,49.0,Engineer,120.0,1.0,9374.24,-411.0,7
830.01,Credit,Chicago,Online,66.0,Retired,96.0,1.0,4253.18,-472.0,6
435.5,Debit,Oklahoma City,ATM,55.0,,112.0,1.0,6981.03,-539.0,2
110.49,Debit,Raleigh,Online,57.0,Doctor,48.0,1.0,10483.93,-370.0,1
329.4,Debit,Denver,Online,34.0,Doctor,68.0,1.0,9588.07,-315.0,7
635.4,Debit,Denver,ATM,47.0,Doctor,106.0,1.0,1238.11,-412.0,6
769.97,Debit,San Diego,Branch,22.0,Student,23.0,1.0,1244.93,-627.0,5
175.07,Debit,Colorado Springs,Branch,26.0,Student,169.0,1.0,1040.25,-427.0,5
7.31,Debit,Las Vegas,Branch,78.0,Retired,282.0,1.0,5757.67,-497.0,0
175.15,Debit,Detroit,ATM,27.0,Student,32.0,1.0,,-361.0,5
32.54,Debit,Oklahoma City,Online,25.0,Student,183.0,4.0,1544.88,-489.0,4
121.82,Debit,Dallas,Online,60.0,Doctor,119.0,1.0,,-423.0,7
56.12,Debit,El Paso,ATM,30.0,Doctor,102.0,1.0,8839.67,-418.0,1
424.7,Credit,Miami,Online,56.0,Retired,178.0,1.0,6239.89,-644.0,3
35.16,Debit,Chicago,Branch,32.0,Engineer,130.0,1.0,,-376.0,7
35.73,Debit,Miami,Branch,65.0,Doctor,87.0,1.0,9073.17,-511.0,1
3.44,Debit,Fort Worth,ATM,78.0,Retired,108.0,1.0,7561.33,-655.0,3
1342.25,Credit,Fort Worth,Branch,21.0,Student,235.0,1.0,694.03,-556.0,6
